year,State,PCE Category,PCE
2007,Rhode Island,      Housing and utilities,6751
2007,Rhode Island,      Health care,5679
2007,South Carolina,      Clothing and footwear,1056
2007,South Carolina,      Gasoline and other energy goods,1436
2007,South Carolina,    Household consumption expenditures (for services),15926
2007,South Carolina,      Housing and utilities,4306
2007,South Carolina,      Health care,4345
2007,South Dakota,      Clothing and footwear,835
2007,South Dakota,      Gasoline and other energy goods,1923
2007,South Dakota,    Household consumption expenditures (for services),18380
2007,South Dakota,      Housing and utilities,4357
2007,South Dakota,      Health care,5534
2007,Tennessee,      Clothing and footwear,986
2007,Tennessee,      Gasoline and other energy goods,1135
2007,Tennessee,    Household consumption expenditures (for services),16746
2007,Tennessee,      Housing and utilities,4791
2007,Tennessee,      Health care,4781
2007,Texas,      Clothing and footwear,1118
2007,Texas,      Gasoline and other energy goods,1184
2007,Texas,    Household consumption expenditures (for services),17627
2007,Texas,      Housing and utilities,5023
2007,Texas,      Health care,4249
2007,Utah,      Clothing and footwear,978
2007,Utah,      Gasoline and other energy goods,1197
2007,Utah,    Household consumption expenditures (for services),16699
2007,Utah,      Housing and utilities,5269
2007,Utah,      Health care,3630
2007,Vermont,      Clothing and footwear,876
2007,Vermont,      Gasoline and other energy goods,1922
2007,Vermont,    Household consumption expenditures (for services),21473
2007,Vermont,      Housing and utilities,6123
2007,Vermont,      Health care,5760
2007,Virginia,      Clothing and footwear,1172
2007,Virginia,      Gasoline and other energy goods,1337
2007,Virginia,    Household consumption expenditures (for services),22169
2007,Virginia,      Housing and utilities,6190
2007,Virginia,      Health care,4452
2007,Washington,      Clothing and footwear,1003
2007,Washington,      Gasoline and other energy goods,1038
2007,Washington,    Household consumption expenditures (for services),21960
2007,Washington,      Housing and utilities,6845
2007,Washington,      Health care,5090
2007,West Virginia,      Clothing and footwear,726
2007,West Virginia,      Gasoline and other energy goods,1193
2007,West Virginia,    Household consumption expenditures (for services),14853
2007,West Virginia,      Housing and utilities,3764
2007,West Virginia,      Health care,5161
2007,Wisconsin,      Clothing and footwear,854
2007,Wisconsin,      Gasoline and other energy goods,1342
2007,Wisconsin,    Household consumption expenditures (for services),19794
2007,Wisconsin,      Housing and utilities,5479
2007,Wisconsin,      Health care,5607
2007,Wyoming,      Clothing and footwear,794
2007,Wyoming,      Gasoline and other energy goods,3208
2007,Wyoming,    Household consumption expenditures (for services),19817
2007,Wyoming,      Housing and utilities,5096
2007,Wyoming,      Health care,4766
2008,United States,      Clothing and footwear,1044
2008,United States,      Gasoline and other energy goods,1286
2008,United States,    Household consumption expenditures (for services),20802
2008,United States,      Housing and utilities,6036
2008,United States,      Health care,5115
2008,Alabama,      Clothing and footwear,909
2008,Alabama,      Gasoline and other energy goods,1351
2008,Alabama,    Household consumption expenditures (for services),15964
2008,Alabama,      Housing and utilities,4185
2008,Alabama,      Health care,4536
2008,Alaska,      Clothing and footwear,918
2008,Alaska,      Gasoline and other energy goods,1371
2008,Alaska,    Household consumption expenditures (for services),24129
2008,Alaska,      Housing and utilities,6535
2008,Alaska,      Health care,6927
2008,Arizona,      Clothing and footwear,989
2008,Arizona,      Gasoline and other energy goods,1283
2008,Arizona,    Household consumption expenditures (for services),18161
2008,Arizona,      Housing and utilities,5356
2008,Arizona,      Health care,4388
2008,Arkansas,      Clothing and footwear,870
2008,Arkansas,      Gasoline and other energy goods,1509
2008,Arkansas,    Household consumption expenditures (for services),15439
2008,Arkansas,      Housing and utilities,4174
2008,Arkansas,      Health care,4494
2008,California,      Clothing and footwear,1164
2008,California,      Gasoline and other energy goods,1042
2008,California,    Household consumption expenditures (for services),22870
2008,California,      Housing and utilities,7566
2008,California,      Health care,4867
2008,Colorado,      Clothing and footwear,1067
2008,Colorado,      Gasoline and other energy goods,1225
2008,Colorado,    Household consumption expenditures (for services),22867
2008,Colorado,      Housing and utilities,7071
2008,Colorado,      Health care,4780
2008,Connecticut,      Clothing and footwear,1264
2008,Connecticut,      Gasoline and other energy goods,1407
2008,Connecticut,    Household consumption expenditures (for services),27543
2008,Connecticut,      Housing and utilities,8433
2008,Connecticut,      Health care,6061
2008,Delaware,      Clothing and footwear,1051
2008,Delaware,      Gasoline and other energy goods,1312
2008,Delaware,    Household consumption expenditures (for services),22034
2008,Delaware,      Housing and utilities,6258
2008,Delaware,      Health care,6122
2008,District of Columbia,      Clothing and footwear,1540
2008,District of Columbia,      Gasoline and other energy goods,1173
2008,District of Columbia,    Household consumption expenditures (for services),38407
2008,District of Columbia,      Housing and utilities,7841
2008,District of Columbia,      Health care,8701
2008,Florida,      Clothing and footwear,893
2008,Florida,      Gasoline and other energy goods,1007
2008,Florida,    Household consumption expenditures (for services),21013
2008,Florida,      Housing and utilities,6011
2008,Florida,      Health care,5133
2008,Georgia,      Clothing and footwear,1011
2008,Georgia,      Gasoline and other energy goods,1362
2008,Georgia,    Household consumption expenditures (for services),18015
2008,Georgia,      Housing and utilities,5127
2008,Georgia,      Health care,4200
2008,Hawaii,      Clothing and footwear,734
2008,Hawaii,      Gasoline and other energy goods,908
2008,Hawaii,    Household consumption expenditures (for services),21769
2008,Hawaii,      Housing and utilities,6976
2008,Hawaii,      Health care,5037
2008,Idaho,      Clothing and footwear,760
2008,Idaho,      Gasoline and other energy goods,1555
2008,Idaho,    Household consumption expenditures (for services),16361
2008,Idaho,      Housing and utilities,4846
2008,Idaho,      Health care,4130
2008,Illinois,      Clothing and footwear,1117
2008,Illinois,      Gasoline and other energy goods,1046
2008,Illinois,    Household consumption expenditures (for services),22159
2008,Illinois,      Housing and utilities,6445
2008,Illinois,      Health care,5138
2008,Indiana,      Clothing and footwear,866
2008,Indiana,      Gasoline and other energy goods,1613
2008,Indiana,    Household consumption expenditures (for services),17815
2008,Indiana,      Housing and utilities,5002
2008,Indiana,      Health care,5085
2008,Iowa,      Clothing and footwear,848
2008,Iowa,      Gasoline and other energy goods,1875
2008,Iowa,    Household consumption expenditures (for services),17723
2008,Iowa,      Housing and utilities,4776
2008,Iowa,      Health care,4904
2008,Kansas,      Clothing and footwear,871
2008,Kansas,      Gasoline and other energy goods,1283
2008,Kansas,    Household consumption expenditures (for services),18564
2008,Kansas,      Housing and utilities,5036
2008,Kansas,      Health care,5049
2008,Kentucky,      Clothing and footwear,789
2008,Kentucky,      Gasoline and other energy goods,1534
2008,Kentucky,    Household consumption expenditures (for services),15742
2008,Kentucky,      Housing and utilities,4253
2008,Kentucky,      Health care,4789
2008,Louisiana,      Clothing and footwear,982
2008,Louisiana,      Gasoline and other energy goods,1436
2008,Louisiana,    Household consumption expenditures (for services),16976
2008,Louisiana,      Housing and utilities,4686
2008,Louisiana,      Health care,4881
2008,Maine,      Clothing and footwear,966
2008,Maine,      Gasoline and other energy goods,2355
2008,Maine,    Household consumption expenditures (for services),20381
2008,Maine,      Housing and utilities,5565
2008,Maine,      Health care,5861
2008,Maryland,      Clothing and footwear,1149
2008,Maryland,      Gasoline and other energy goods,1202
2008,Maryland,    Household consumption expenditures (for services),24123
2008,Maryland,      Housing and utilities,7680
2008,Maryland,      Health care,5635
2008,Massachusetts,      Clothing and footwear,1312
2008,Massachusetts,      Gasoline and other energy goods,1317
2008,Massachusetts,    Household consumption expenditures (for services),28706
2008,Massachusetts,      Housing and utilities,8414
2008,Massachusetts,      Health care,7324
2008,Michigan,      Clothing and footwear,867
2008,Michigan,      Gasoline and other energy goods,1274
2008,Michigan,    Household consumption expenditures (for services),19633
2008,Michigan,      Housing and utilities,5897
2008,Michigan,      Health care,5058
2008,Minnesota,      Clothing and footwear,1035
2008,Minnesota,      Gasoline and other energy goods,1568
2008,Minnesota,    Household consumption expenditures (for services),22530
2008,Minnesota,      Housing and utilities,6220
2008,Minnesota,      Health care,5882
2008,Mississippi,      Clothing and footwear,839
2008,Mississippi,      Gasoline and other energy goods,1517
2008,Mississippi,    Household consumption expenditures (for services),14408
2008,Mississippi,      Housing and utilities,4178
2008,Mississippi,      Health care,4788
2008,Missouri,      Clothing and footwear,867
2008,Missouri,      Gasoline and other energy goods,1736
2008,Missouri,    Household consumption expenditures (for services),19052
2008,Missouri,      Housing and utilities,4946
2008,Missouri,      Health care,5298
2008,Montana,      Clothing and footwear,840
2008,Montana,      Gasoline and other energy goods,2114
2008,Montana,    Household consumption expenditures (for services),17870
2008,Montana,      Housing and utilities,4946
2008,Montana,      Health care,4939
2008,Nebraska,      Clothing and footwear,872
2008,Nebraska,      Gasoline and other energy goods,2021
2008,Nebraska,    Household consumption expenditures (for services),19560
2008,Nebraska,      Housing and utilities,4950
2008,Nebraska,      Health care,5388
2008,Nevada,      Clothing and footwear,998
2008,Nevada,      Gasoline and other energy goods,1222
2008,Nevada,    Household consumption expenditures (for services),21176
2008,Nevada,      Housing and utilities,5947
2008,Nevada,      Health care,4200
2008,New Hampshire,      Clothing and footwear,1290
2008,New Hampshire,      Gasoline and other energy goods,2012
2008,New Hampshire,    Household consumption expenditures (for services),25354
2008,New Hampshire,      Housing and utilities,7713
2008,New Hampshire,      Health care,6351
2008,New Jersey,      Clothing and footwear,1401
2008,New Jersey,      Gasoline and other energy goods,1154
2008,New Jersey,    Household consumption expenditures (for services),26315
2008,New Jersey,      Housing and utilities,8497
2008,New Jersey,      Health care,5473
2008,New Mexico,      Clothing and footwear,778
2008,New Mexico,      Gasoline and other energy goods,1731
2008,New Mexico,    Household consumption expenditures (for services),17056
2008,New Mexico,      Housing and utilities,4755
2008,New Mexico,      Health care,4417
2008,New York,      Clothing and footwear,1489
2008,New York,      Gasoline and other energy goods,922
2008,New York,    Household consumption expenditures (for services),25281
2008,New York,      Housing and utilities,7010
2008,New York,      Health care,5908
2008,North Carolina,      Clothing and footwear,923
2008,North Carolina,      Gasoline and other energy goods,1321
2008,North Carolina,    Household consumption expenditures (for services),16742
2008,North Carolina,      Housing and utilities,4596
2008,North Carolina,      Health care,4603
2008,North Dakota,      Clothing and footwear,1084
2008,North Dakota,      Gasoline and other energy goods,2734
2008,North Dakota,    Household consumption expenditures (for services),18788
2008,North Dakota,      Housing and utilities,4252
2008,North Dakota,      Health care,5679
2008,Ohio,      Clothing and footwear,850
2008,Ohio,      Gasoline and other energy goods,1171
2008,Ohio,    Household consumption expenditures (for services),19684
2008,Ohio,      Housing and utilities,5263
2008,Ohio,      Health care,5403
2008,Oklahoma,      Clothing and footwear,921
2008,Oklahoma,      Gasoline and other energy goods,1592
2008,Oklahoma,    Household consumption expenditures (for services),16194
2008,Oklahoma,      Housing and utilities,4409
2008,Oklahoma,      Health care,4731
2008,Oregon,      Clothing and footwear,954
2008,Oregon,      Gasoline and other energy goods,1238
2008,Oregon,    Household consumption expenditures (for services),20427
2008,Oregon,      Housing and utilities,6668
2008,Oregon,      Health care,4924
2008,Pennsylvania,      Clothing and footwear,993
2008,Pennsylvania,      Gasoline and other energy goods,1343
2008,Pennsylvania,    Household consumption expenditures (for services),22024
2008,Pennsylvania,      Housing and utilities,5375
2008,Pennsylvania,      Health care,5728
2008,Rhode Island,      Clothing and footwear,886
2008,Rhode Island,      Gasoline and other energy goods,1133
2008,Rhode Island,    Household consumption expenditures (for services),23176
2008,Rhode Island,      Housing and utilities,7148
2008,Rhode Island,      Health care,5956
2008,South Carolina,      Clothing and footwear,1027
2008,South Carolina,      Gasoline and other energy goods,1610
2008,South Carolina,    Household consumption expenditures (for services),16421
2008,South Carolina,      Housing and utilities,4431
2008,South Carolina,      Health care,4556
2008,South Dakota,      Clothing and footwear,841
2008,South Dakota,      Gasoline and other energy goods,2170
2008,South Dakota,    Household consumption expenditures (for services),19165
2008,South Dakota,      Housing and utilities,4418
2008,South Dakota,      Health care,5955
2008,Tennessee,      Clothing and footwear,938
2008,Tennessee,      Gasoline and other energy goods,1305
2008,Tennessee,    Household consumption expenditures (for services),16962
2008,Tennessee,      Housing and utilities,4937
2008,Tennessee,      Health care,4850
2008,Texas,      Clothing and footwear,1081
2008,Texas,      Gasoline and other energy goods,1299
2008,Texas,    Household consumption expenditures (for services),18238
2008,Texas,      Housing and utilities,5142
2008,Texas,      Health care,4461
2008,Utah,      Clothing and footwear,944
2008,Utah,      Gasoline and other energy goods,1323
2008,Utah,    Household consumption expenditures (for services),17232
2008,Utah,      Housing and utilities,5342
2008,Utah,      Health care,3826
2008,Vermont,      Clothing and footwear,842
2008,Vermont,      Gasoline and other energy goods,2280
2008,Vermont,    Household consumption expenditures (for services),22184
2008,Vermont,      Housing and utilities,6375
2008,Vermont,      Health care,5993
2008,Virginia,      Clothing and footwear,1140
2008,Virginia,      Gasoline and other energy goods,1498
2008,Virginia,    Household consumption expenditures (for services),23039
2008,Virginia,      Housing and utilities,6451
2008,Virginia,      Health care,4701
2008,Washington,      Clothing and footwear,932
2008,Washington,      Gasoline and other energy goods,1147
2008,Washington,    Household consumption expenditures (for services),22781
2008,Washington,      Housing and utilities,7040
2008,Washington,      Health care,5444
2008,West Virginia,      Clothing and footwear,737
2008,West Virginia,      Gasoline and other energy goods,1352
2008,West Virginia,    Household consumption expenditures (for services),15425
2008,West Virginia,      Housing and utilities,3888
2008,West Virginia,      Health care,5377
2008,Wisconsin,      Clothing and footwear,856
2008,Wisconsin,      Gasoline and other energy goods,1531
2008,Wisconsin,    Household consumption expenditures (for services),20405
2008,Wisconsin,      Housing and utilities,5628
2008,Wisconsin,      Health care,5918
2008,Wyoming,      Clothing and footwear,789
2008,Wyoming,      Gasoline and other energy goods,3709
2008,Wyoming,    Household consumption expenditures (for services),20575
2008,Wyoming,      Housing and utilities,5239
2008,Wyoming,      Health care,5038
2009,United States,      Clothing and footwear,991
2009,United States,      Gasoline and other energy goods,936
2009,United States,    Household consumption expenditures (for services),20774
2009,United States,      Housing and utilities,6121
2009,United States,      Health care,5322
2009,Alabama,      Clothing and footwear,877
2009,Alabama,      Gasoline and other energy goods,981
2009,Alabama,    Household consumption expenditures (for services),16067
2009,Alabama,      Housing and utilities,4224
2009,Alabama,      Health care,4694
2009,Alaska,      Clothing and footwear,870
2009,Alaska,      Gasoline and other energy goods,1025
2009,Alaska,    Household consumption expenditures (for services),24454
2009,Alaska,      Housing and utilities,6657
2009,Alaska,      Health care,7243
2009,Arizona,      Clothing and footwear,949
2009,Arizona,      Gasoline and other energy goods,908
2009,Arizona,    Household consumption expenditures (for services),18157
2009,Arizona,      Housing and utilities,5626
2009,Arizona,      Health care,4568
2009,Arkansas,      Clothing and footwear,862
2009,Arkansas,      Gasoline and other energy goods,1125
2009,Arkansas,    Household consumption expenditures (for services),15500
2009,Arkansas,      Housing and utilities,4210
2009,Arkansas,      Health care,4620
2009,California,      Clothing and footwear,1042
2009,California,      Gasoline and other energy goods,739
2009,California,    Household consumption expenditures (for services),22476
2009,California,      Housing and utilities,7763
2009,California,      Health care,4987
2009,Colorado,      Clothing and footwear,1000
2009,Colorado,      Gasoline and other energy goods,868
2009,Colorado,    Household consumption expenditures (for services),22687
2009,Colorado,      Housing and utilities,7073
2009,Colorado,      Health care,4988
2009,Connecticut,      Clothing and footwear,1170
2009,Connecticut,      Gasoline and other energy goods,1040
2009,Connecticut,    Household consumption expenditures (for services),27358
2009,Connecticut,      Housing and utilities,8539
2009,Connecticut,      Health care,6339
2009,Delaware,      Clothing and footwear,997
2009,Delaware,      Gasoline and other energy goods,945
2009,Delaware,    Household consumption expenditures (for services),22128
2009,Delaware,      Housing and utilities,6329
2009,Delaware,      Health care,6335
2009,District of Columbia,      Clothing and footwear,1386
2009,District of Columbia,      Gasoline and other energy goods,746
2009,District of Columbia,    Household consumption expenditures (for services),38407
2009,District of Columbia,      Housing and utilities,7943
2009,District of Columbia,      Health care,9141
2009,Florida,      Clothing and footwear,860
2009,Florida,      Gasoline and other energy goods,720
2009,Florida,    Household consumption expenditures (for services),21079
2009,Florida,      Housing and utilities,6313
2009,Florida,      Health care,5357
2009,Georgia,      Clothing and footwear,958
2009,Georgia,      Gasoline and other energy goods,985
2009,Georgia,    Household consumption expenditures (for services),17846
2009,Georgia,      Housing and utilities,5200
2009,Georgia,      Health care,4321
2009,Hawaii,      Clothing and footwear,698
2009,Hawaii,      Gasoline and other energy goods,651
2009,Hawaii,    Household consumption expenditures (for services),21640
2009,Hawaii,      Housing and utilities,7071
2009,Hawaii,      Health care,5137
2009,Idaho,      Clothing and footwear,730
2009,Idaho,      Gasoline and other energy goods,1100
2009,Idaho,    Household consumption expenditures (for services),16339
2009,Idaho,      Housing and utilities,4926
2009,Idaho,      Health care,4336
2009,Illinois,      Clothing and footwear,1054
2009,Illinois,      Gasoline and other energy goods,759
2009,Illinois,    Household consumption expenditures (for services),21973
2009,Illinois,      Housing and utilities,6410
2009,Illinois,      Health care,5341
2009,Indiana,      Clothing and footwear,834
2009,Indiana,      Gasoline and other energy goods,1138
2009,Indiana,    Household consumption expenditures (for services),17913
2009,Indiana,      Housing and utilities,5030
2009,Indiana,      Health care,5409
2009,Iowa,      Clothing and footwear,855
2009,Iowa,      Gasoline and other energy goods,1386
2009,Iowa,    Household consumption expenditures (for services),17882
2009,Iowa,      Housing and utilities,4782
2009,Iowa,      Health care,5086
2009,Kansas,      Clothing and footwear,834
2009,Kansas,      Gasoline and other energy goods,939
2009,Kansas,    Household consumption expenditures (for services),18558
2009,Kansas,      Housing and utilities,5100
2009,Kansas,      Health care,5188
2009,Kentucky,      Clothing and footwear,760
2009,Kentucky,      Gasoline and other energy goods,1122
2009,Kentucky,    Household consumption expenditures (for services),15935
2009,Kentucky,      Housing and utilities,4290
2009,Kentucky,      Health care,5014
2009,Louisiana,      Clothing and footwear,953
2009,Louisiana,      Gasoline and other energy goods,1089
2009,Louisiana,    Household consumption expenditures (for services),17016
2009,Louisiana,      Housing and utilities,4553
2009,Louisiana,      Health care,5120
2009,Maine,      Clothing and footwear,927
2009,Maine,      Gasoline and other energy goods,1758
2009,Maine,    Household consumption expenditures (for services),20709
2009,Maine,      Housing and utilities,5664
2009,Maine,      Health care,6105
2009,Maryland,      Clothing and footwear,1105
2009,Maryland,      Gasoline and other energy goods,869
2009,Maryland,    Household consumption expenditures (for services),24249
2009,Maryland,      Housing and utilities,7864
2009,Maryland,      Health care,5838
2009,Massachusetts,      Clothing and footwear,1258
2009,Massachusetts,      Gasoline and other energy goods,990
2009,Massachusetts,    Household consumption expenditures (for services),28416
2009,Massachusetts,      Housing and utilities,8356
2009,Massachusetts,      Health care,7627
2009,Michigan,      Clothing and footwear,848
2009,Michigan,      Gasoline and other energy goods,923
2009,Michigan,    Household consumption expenditures (for services),19653
2009,Michigan,      Housing and utilities,5989
2009,Michigan,      Health care,5313
2009,Minnesota,      Clothing and footwear,993
2009,Minnesota,      Gasoline and other energy goods,1126
2009,Minnesota,    Household consumption expenditures (for services),22588
2009,Minnesota,      Housing and utilities,6273
2009,Minnesota,      Health care,6167
2009,Mississippi,      Clothing and footwear,824
2009,Mississippi,      Gasoline and other energy goods,1112
2009,Mississippi,    Household consumption expenditures (for services),14597
2009,Mississippi,      Housing and utilities,4223
2009,Mississippi,      Health care,4896
2009,Missouri,      Clothing and footwear,857
2009,Missouri,      Gasoline and other energy goods,1266
2009,Missouri,    Household consumption expenditures (for services),19278
2009,Missouri,      Housing and utilities,5011
2009,Missouri,      Health care,5469
2009,Montana,      Clothing and footwear,807
2009,Montana,      Gasoline and other energy goods,1531
2009,Montana,    Household consumption expenditures (for services),18079
2009,Montana,      Housing and utilities,4970
2009,Montana,      Health care,5239
2009,Nebraska,      Clothing and footwear,859
2009,Nebraska,      Gasoline and other energy goods,1494
2009,Nebraska,    Household consumption expenditures (for services),19576
2009,Nebraska,      Housing and utilities,4968
2009,Nebraska,      Health care,5503
2009,Nevada,      Clothing and footwear,937
2009,Nevada,      Gasoline and other energy goods,848
2009,Nevada,    Household consumption expenditures (for services),21241
2009,Nevada,      Housing and utilities,6330
2009,Nevada,      Health care,4264
2009,New Hampshire,      Clothing and footwear,1218
2009,New Hampshire,      Gasoline and other energy goods,1471
2009,New Hampshire,    Household consumption expenditures (for services),26073
2009,New Hampshire,      Housing and utilities,7913
2009,New Hampshire,      Health care,6794
2009,New Jersey,      Clothing and footwear,1326
2009,New Jersey,      Gasoline and other energy goods,851
2009,New Jersey,    Household consumption expenditures (for services),26307
2009,New Jersey,      Housing and utilities,8633
2009,New Jersey,      Health care,5760
2009,New Mexico,      Clothing and footwear,763
2009,New Mexico,      Gasoline and other energy goods,1254
2009,New Mexico,    Household consumption expenditures (for services),17340
2009,New Mexico,      Housing and utilities,4778
2009,New Mexico,      Health care,4750
2009,New York,      Clothing and footwear,1405
2009,New York,      Gasoline and other energy goods,680
2009,New York,    Household consumption expenditures (for services),25160
2009,New York,      Housing and utilities,7084
2009,New York,      Health care,6184
2009,North Carolina,      Clothing and footwear,881
2009,North Carolina,      Gasoline and other energy goods,962
2009,North Carolina,    Household consumption expenditures (for services),16885
2009,North Carolina,      Housing and utilities,4704
2009,North Carolina,      Health care,4828
2009,North Dakota,      Clothing and footwear,1041
2009,North Dakota,      Gasoline and other energy goods,2094
2009,North Dakota,    Household consumption expenditures (for services),19412
2009,North Dakota,      Housing and utilities,4240
2009,North Dakota,      Health care,6080
2009,Ohio,      Clothing and footwear,815
2009,Ohio,      Gasoline and other energy goods,873
2009,Ohio,    Household consumption expenditures (for services),19792
2009,Ohio,      Housing and utilities,5291
2009,Ohio,      Health care,5639
2009,Oklahoma,      Clothing and footwear,897
2009,Oklahoma,      Gasoline and other energy goods,1160
2009,Oklahoma,    Household consumption expenditures (for services),16167
2009,Oklahoma,      Housing and utilities,4367
2009,Oklahoma,      Health care,4807
2009,Oregon,      Clothing and footwear,906
2009,Oregon,      Gasoline and other energy goods,874
2009,Oregon,    Household consumption expenditures (for services),20267
2009,Oregon,      Housing and utilities,6731
2009,Oregon,      Health care,5103
2009,Pennsylvania,      Clothing and footwear,973
2009,Pennsylvania,      Gasoline and other energy goods,1020
2009,Pennsylvania,    Household consumption expenditures (for services),21951
2009,Pennsylvania,      Housing and utilities,5408
2009,Pennsylvania,      Health care,5875
2009,Rhode Island,      Clothing and footwear,810
2009,Rhode Island,      Gasoline and other energy goods,835
2009,Rhode Island,    Household consumption expenditures (for services),23324
2009,Rhode Island,      Housing and utilities,7238
2009,Rhode Island,      Health care,6189
2009,South Carolina,      Clothing and footwear,978
2009,South Carolina,      Gasoline and other energy goods,1174
2009,South Carolina,    Household consumption expenditures (for services),16461
2009,South Carolina,      Housing and utilities,4516
2009,South Carolina,      Health care,4712
2009,South Dakota,      Clothing and footwear,848
2009,South Dakota,      Gasoline and other energy goods,1587
2009,South Dakota,    Household consumption expenditures (for services),19499
2009,South Dakota,      Housing and utilities,4395
2009,South Dakota,      Health care,6328
2009,Tennessee,      Clothing and footwear,877
2009,Tennessee,      Gasoline and other energy goods,908
2009,Tennessee,    Household consumption expenditures (for services),16956
2009,Tennessee,      Housing and utilities,4968
2009,Tennessee,      Health care,5003
2009,Texas,      Clothing and footwear,1054
2009,Texas,      Gasoline and other energy goods,966
2009,Texas,    Household consumption expenditures (for services),18314
2009,Texas,      Housing and utilities,5092
2009,Texas,      Health care,4680
2009,Utah,      Clothing and footwear,920
2009,Utah,      Gasoline and other energy goods,913
2009,Utah,    Household consumption expenditures (for services),17180
2009,Utah,      Housing and utilities,5370
2009,Utah,      Health care,3952
2009,Vermont,      Clothing and footwear,800
2009,Vermont,      Gasoline and other energy goods,1750
2009,Vermont,    Household consumption expenditures (for services),22507
2009,Vermont,      Housing and utilities,6487
2009,Vermont,      Health care,6312
2009,Virginia,      Clothing and footwear,1084
2009,Virginia,      Gasoline and other energy goods,1086
2009,Virginia,    Household consumption expenditures (for services),23359
2009,Virginia,      Housing and utilities,6689
2009,Virginia,      Health care,4964
2009,Washington,      Clothing and footwear,840
2009,Washington,      Gasoline and other energy goods,815
2009,Washington,    Household consumption expenditures (for services),22780
2009,Washington,      Housing and utilities,7159
2009,Washington,      Health care,5750
2009,West Virginia,      Clothing and footwear,731
2009,West Virginia,      Gasoline and other energy goods,1039
2009,West Virginia,    Household consumption expenditures (for services),15933
2009,West Virginia,      Housing and utilities,3960
2009,West Virginia,      Health care,5735
2009,Wisconsin,      Clothing and footwear,839
2009,Wisconsin,      Gasoline and other energy goods,1109
2009,Wisconsin,    Household consumption expenditures (for services),20517
2009,Wisconsin,      Housing and utilities,5582
2009,Wisconsin,      Health care,6221
2009,Wyoming,      Clothing and footwear,753
2009,Wyoming,      Gasoline and other energy goods,2582
2009,Wyoming,    Household consumption expenditures (for services),20157
2009,Wyoming,      Housing and utilities,5294
2009,Wyoming,      Health care,5184
2010,United States,      Clothing and footwear,1024
2010,United States,      Gasoline and other energy goods,1089
2010,United States,    Household consumption expenditures (for services),21252
2010,United States,      Housing and utilities,6155
2010,United States,      Health care,5494
2010,Alabama,      Clothing and footwear,903
2010,Alabama,      Gasoline and other energy goods,1164
2010,Alabama,    Household consumption expenditures (for services),16474
2010,Alabama,      Housing and utilities,4395
2010,Alabama,      Health care,4730
2010,Alaska,      Clothing and footwear,877
2010,Alaska,      Gasoline and other energy goods,1189
2010,Alaska,    Household consumption expenditures (for services),24841
2010,Alaska,      Housing and utilities,6543
2010,Alaska,      Health care,7496
2010,Arizona,      Clothing and footwear,974
2010,Arizona,      Gasoline and other energy goods,1011
2010,Arizona,    Household consumption expenditures (for services),18480
2010,Arizona,      Housing and utilities,5748
2010,Arizona,      Health care,4722
2010,Arkansas,      Clothing and footwear,883
2010,Arkansas,      Gasoline and other energy goods,1367
2010,Arkansas,    Household consumption expenditures (for services),15733
2010,Arkansas,      Housing and utilities,4256
2010,Arkansas,      Health care,4661
2010,California,      Clothing and footwear,1087
2010,California,      Gasoline and other energy goods,854
2010,California,    Household consumption expenditures (for services),23193
2010,California,      Housing and utilities,7861
2010,California,      Health care,5398
2010,Colorado,      Clothing and footwear,1013
2010,Colorado,      Gasoline and other energy goods,981
2010,Colorado,    Household consumption expenditures (for services),22932
2010,Colorado,      Housing and utilities,6970
2010,Colorado,      Health care,5067
2010,Connecticut,      Clothing and footwear,1200
2010,Connecticut,      Gasoline and other energy goods,1157
2010,Connecticut,    Household consumption expenditures (for services),27793
2010,Connecticut,      Housing and utilities,8483
2010,Connecticut,      Health care,6504
2010,Delaware,      Clothing and footwear,1036
2010,Delaware,      Gasoline and other energy goods,1076
2010,Delaware,    Household consumption expenditures (for services),22855
2010,Delaware,      Housing and utilities,6386
2010,Delaware,      Health care,6696
2010,District of Columbia,      Clothing and footwear,1401
2010,District of Columbia,      Gasoline and other energy goods,802
2010,District of Columbia,    Household consumption expenditures (for services),39019
2010,District of Columbia,      Housing and utilities,8032
2010,District of Columbia,      Health care,9174
2010,Florida,      Clothing and footwear,904
2010,Florida,      Gasoline and other energy goods,845
2010,Florida,    Household consumption expenditures (for services),21567
2010,Florida,      Housing and utilities,6339
2010,Florida,      Health care,5462
2010,Georgia,      Clothing and footwear,977
2010,Georgia,      Gasoline and other energy goods,1134
2010,Georgia,    Household consumption expenditures (for services),18144
2010,Georgia,      Housing and utilities,5285
2010,Georgia,      Health care,4348
2010,Hawaii,      Clothing and footwear,733
2010,Hawaii,      Gasoline and other energy goods,735
2010,Hawaii,    Household consumption expenditures (for services),22389
2010,Hawaii,      Housing and utilities,7394
2010,Hawaii,      Health care,5100
2010,Idaho,      Clothing and footwear,736
2010,Idaho,      Gasoline and other energy goods,1351
2010,Idaho,    Household consumption expenditures (for services),16708
2010,Idaho,      Housing and utilities,4915
2010,Idaho,      Health care,4493
2010,Illinois,      Clothing and footwear,1091
2010,Illinois,      Gasoline and other energy goods,889
2010,Illinois,    Household consumption expenditures (for services),22491
2010,Illinois,      Housing and utilities,6417
2010,Illinois,      Health care,5572
2010,Indiana,      Clothing and footwear,862
2010,Indiana,      Gasoline and other energy goods,1334
2010,Indiana,    Household consumption expenditures (for services),18217
